threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.6111111111111112,0.44
0.05555555555555555,0.524390243902439,0.9772727272727273,0.6825396825396824,0.6
0.1111111111111111,0.581081081081081,0.9772727272727273,0.728813559322034,0.68
0.16666666666666666,0.6666666666666666,0.9545454545454546,0.7850467289719627,0.77
0.2222222222222222,0.7368421052631579,0.9545454545454546,0.8316831683168316,0.83
0.2777777777777778,0.7924528301886793,0.9545454545454546,0.865979381443299,0.87
0.3333333333333333,0.82,0.9318181818181818,0.8723404255319149,0.88
0.38888888888888884,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.88
0.4444444444444444,0.8863636363636364,0.8863636363636364,0.8863636363636365,0.9
0.5,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.9
0.5555555555555556,0.9,0.8181818181818182,0.8571428571428572,0.88
0.611111111111111,0.9230769230769231,0.8181818181818182,0.8674698795180724,0.89
0.6666666666666666,0.9444444444444444,0.7727272727272727,0.85,0.88
0.7222222222222222,0.9714285714285714,0.7727272727272727,0.8607594936708862,0.89
0.7777777777777777,1.0,0.7045454545454546,0.8266666666666667,0.87
0.8333333333333333,1.0,0.6363636363636364,0.7777777777777778,0.84
0.8888888888888888,1.0,0.5681818181818182,0.7246376811594203,0.81
0.9444444444444444,1.0,0.36363636363636365,0.5333333333333333,0.72
1.0,0.0,0.0,0.0,0.56
