threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.6111111111111112,0.44
0.05555555555555555,0.4772727272727273,0.9545454545454546,0.6363636363636365,0.52
0.1111111111111111,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.68
0.16666666666666666,0.6909090909090909,0.8636363636363636,0.7676767676767676,0.77
0.2222222222222222,0.7346938775510204,0.8181818181818182,0.7741935483870968,0.79
0.2777777777777778,0.8333333333333334,0.7954545454545454,0.8139534883720929,0.84
0.3333333333333333,0.8536585365853658,0.7954545454545454,0.8235294117647058,0.85
0.38888888888888884,0.8536585365853658,0.7954545454545454,0.8235294117647058,0.85
0.4444444444444444,0.875,0.7954545454545454,0.8333333333333334,0.86
0.5,0.8717948717948718,0.7727272727272727,0.8192771084337349,0.85
0.5555555555555556,0.8947368421052632,0.7727272727272727,0.8292682926829269,0.86
0.611111111111111,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.84
0.6666666666666666,0.9393939393939394,0.7045454545454546,0.8051948051948052,0.85
0.7222222222222222,0.9666666666666667,0.6590909090909091,0.7837837837837838,0.84
0.7777777777777777,0.9655172413793104,0.6363636363636364,0.7671232876712328,0.83
0.8333333333333333,0.9655172413793104,0.6363636363636364,0.7671232876712328,0.83
0.8888888888888888,1.0,0.5681818181818182,0.7246376811594203,0.81
0.9444444444444444,1.0,0.4090909090909091,0.5806451612903226,0.74
1.0,0.0,0.0,0.0,0.56
