threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.6111111111111112,0.44
0.05555555555555555,0.44,1.0,0.6111111111111112,0.44
0.1111111111111111,0.44,1.0,0.6111111111111112,0.44
0.16666666666666666,0.44,1.0,0.6111111111111112,0.44
0.2222222222222222,0.44,1.0,0.6111111111111112,0.44
0.2777777777777778,0.44,1.0,0.6111111111111112,0.44
0.3333333333333333,0.44,1.0,0.6111111111111112,0.44
0.38888888888888884,0.44,1.0,0.6111111111111112,0.44
0.4444444444444444,0.8205128205128205,0.7272727272727273,0.7710843373493976,0.81
0.5,0.0,0.0,0.0,0.56
0.5555555555555556,0.0,0.0,0.0,0.56
0.611111111111111,0.0,0.0,0.0,0.56
0.6666666666666666,0.0,0.0,0.0,0.56
0.7222222222222222,0.0,0.0,0.0,0.56
0.7777777777777777,0.0,0.0,0.0,0.56
0.8333333333333333,0.0,0.0,0.0,0.56
0.8888888888888888,0.0,0.0,0.0,0.56
0.9444444444444444,0.0,0.0,0.0,0.56
1.0,0.0,0.0,0.0,0.56
