threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.6111111111111112,0.44
0.05555555555555555,0.4444444444444444,1.0,0.6153846153846153,0.45
0.1111111111111111,0.5057471264367817,1.0,0.6717557251908397,0.57
0.16666666666666666,0.5466666666666666,0.9318181818181818,0.6890756302521007,0.63
0.2222222222222222,0.6129032258064516,0.8636363636363636,0.7169811320754716,0.7
0.2777777777777778,0.6785714285714286,0.8636363636363636,0.76,0.76
0.3333333333333333,0.7755102040816326,0.8636363636363636,0.8172043010752688,0.83
0.38888888888888884,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.86
0.4444444444444444,0.8292682926829268,0.7727272727272727,0.7999999999999999,0.83
0.5,0.8461538461538461,0.75,0.7951807228915662,0.83
0.5555555555555556,0.9117647058823529,0.7045454545454546,0.794871794871795,0.84
0.611111111111111,0.9375,0.6818181818181818,0.7894736842105263,0.84
0.6666666666666666,0.9655172413793104,0.6363636363636364,0.7671232876712328,0.83
0.7222222222222222,1.0,0.6363636363636364,0.7777777777777778,0.84
0.7777777777777777,1.0,0.6136363636363636,0.7605633802816901,0.83
0.8333333333333333,1.0,0.45454545454545453,0.625,0.76
0.8888888888888888,1.0,0.36363636363636365,0.5333333333333333,0.72
0.9444444444444444,1.0,0.1590909090909091,0.2745098039215686,0.63
1.0,0.0,0.0,0.0,0.56
